Data Name,Display Name,Label for null fields,exclude,Main table,Tick Label,Modal window 1 (Summary tab),Modal window 2 (Associated Features tab),Modal window 3 (Associated Objects tab),Sub tab (level down),Notes
site,Mine site,not specified,,Y,,Y,,,Summary tab,
ancientName,Ancient Name,not specified,,,,Y,,,,
province,Province,not specified,,Y,,Y,,,Summary tab,
country,Country,not specified,,Y,,Y,,,Summary tab,
region,Region,not specified,,Y,,Y,,,Summary tab,
miningDistrict,Mining District,not specified,,,,Y,,,,
romanianRANID,,-,Y,,,,,,Summary tab,
sanchezPalenciaAndOrejasID,,-,Y,,,,,,Summary tab,
domergueID,,-,Y,,,,,,Summary tab,
spainMapSheet,,-,Y,,,,,,Summary tab,
lambertX,,-,Y,,,,,,Summary tab,
lambertY,,-,Y,,,,,,Summary tab,
latitude,Latitude,-,,,,Y,,,Summary tab,
longitude,Longitude,-,,,,Y,,,Summary tab,
coordinateAccuracy,,not specified,,,,Y,,,,This field should be displayed
locationDataSource,,not specified,Y,,,,,,,
locationNotes,,not specified,Y,,,,,,,
notBeforeOpeningDate,Start (After),-,,,,Y,,,Summary tab,
notAfterOpeningDate,Start (Before),-,,,,Y,,,Summary tab,
notBeforeClosingDate,End (Start),-,,,,Y,,,Summary tab,
notAfterClosingDate,End(Before),-,,,,Y,,,Summary tab,
inUseDate,Date in use,-,,,,Y,,,Summary tab,
metalMinedGold,Gold,,,Y,Y,Y,,,Summary tab,
metalMinedSilver,Silver,,,Y,Y,Y,,,Summary tab,
metalMinedLead,Lead,,,Y,Y,Y,,,Summary tab,
metalMinedCopper,Copper,,,Y,Y,Y,,,Summary tab,
metalMinedTin,Tin,,,Y,Y,Y,,,Summary tab,
metalMinedIron,Iron,,,Y,Y,Y,,,Summary tab,
metalMinedMercuryCinnabar,Mercury/Cinnabar,,,Y,Y,Y,,,Summary tab,
metalMinedZinc,Zinc,,,Y,Y,Y,,,Summary tab,
metalMinedOther,Other,,,Y,Y,Y,,,Summary tab,
description,Description,none,,,,Y,,,Summary tab,
references,References,none,,,,Y,,,Summary tab,
techniqueOpencast,Opencast,,,,Y,Y,,,Summary tab,
techniqueUnderground,Underground,,,,Y,Y,,,Summary tab,
techniqueHydraulic,Hydraulic,,,,Y,Y,,,Summary tab,
techniqueHushing,Hushing,,,,Y,Y,,,Summary tab,
techniqueGroundSluicing,Ground Sluicing,,,,Y,Y,,,Summary tab,
techniqueRuinaMontium,Ruina Montium,,,,Y,Y,,,Summary tab,
techniqueRakeComb,Rake Comb,,,,Y,Y,,,Summary tab,
techniqueGoldWashing,Gold Washing,,,,Y,Y,,,Summary tab,
techniqueOther,Other,,,,Y,Y,,,Summary tab,
notes,Notes,none,,,,Y,,,Summary tab,
geology,Geology,not specified,,,,Y,,,Summary tab,
depositType,Deposit Type,not specified,,,,Y,,,Summary tab,
exploitationType,Exploitation Type,not specified,,,,Y,,,Summary tab,
